"cutoff","TumorSizeGroup","N","Metastasis_n","Crude_rate","Standardized_rate"
5.7,"Small",11213,6601,0.588691697137251,0.599661796123901
5.7,"Large",2052,1168,0.569200779727095,0.539885770163797
5.8,"Small",11247,6618,0.588423579621232,0.599309179227818
5.8,"Large",2018,1151,0.570366699702676,0.535767683218223
5.9,"Small",11247,6618,0.588423579621232,0.599309179227818
5.9,"Large",2018,1151,0.570366699702676,0.535767683218223
6,"Small",11250,6619,0.588355555555556,0.599265917867321
6,"Large",2015,1150,0.570719602977667,0.536295634157875
6.1,"Small",11944,7036,0.589082384460817,0.595480409981693
6.1,"Large",1321,733,0.554882664647994,0.536369752357737
6.2,"Small",11944,7036,0.589082384460817,0.595480409981693
6.2,"Large",1321,733,0.554882664647994,0.536369752357737
6.3,"Small",11959,7045,0.589096078267414,0.595300044836821
6.3,"Large",1306,724,0.554364471669219,0.535814182332627
6.4,"Small",11959,7045,0.589096078267414,0.595300044836821
6.4,"Large",1306,724,0.554364471669219,0.535814182332627
6.5,"Small",11960,7046,0.589130434782609,0.595333481183262
6.5,"Large",1305,723,0.554022988505747,0.535626118501682
6.6,"Small",12190,7166,0.58785890073831,0.59296338949646
6.6,"Large",1075,603,0.56093023255814,0.559003452530143
6.7,"Small",12190,7166,0.58785890073831,0.59296338949646
6.7,"Large",1075,603,0.56093023255814,0.559003452530143
6.8,"Small",12201,7169,0.587574788951725,0.592560244456857
6.8,"Large",1064,600,0.56390977443609,0.561879283049098
6.9,"Small",12201,7169,0.587574788951725,0.592560244456857
6.9,"Large",1064,600,0.56390977443609,0.561879283049098
7,"Small",12201,7169,0.587574788951725,0.592560244456857
7,"Large",1064,600,0.56390977443609,0.561879283049098
7.1,"Small",12587,7387,0.586875347580837,0.58977545096987
7.1,"Large",678,382,0.563421828908555,0.565019652923609
7.2,"Small",12587,7387,0.586875347580837,0.58977545096987
7.2,"Large",678,382,0.563421828908555,0.565019652923609
7.3,"Small",12595,7391,0.58682016673283,0.589732682839338
7.3,"Large",670,378,0.564179104477612,0.565553673674282
7.4,"Small",12595,7391,0.58682016673283,0.589732682839338
7.4,"Large",670,378,0.564179104477612,0.565553673674282
7.5,"Small",12595,7391,0.58682016673283,0.589732682839338
7.5,"Large",670,378,0.564179104477612,0.565553673674282
7.6,"Small",12724,7462,0.586450801634706,0.588840465550667
7.6,"Large",541,307,0.567467652495379,0.56347630209787
7.7,"Small",12724,7462,0.586450801634706,0.588840465550667
